0,63,10,54,2,-7,-17,9,8,4
46,87,12,59,13,-12,-18,5,9,4
35,50,13,65,20,-13,-20,13,6,4
-4,44,6,68,29,-15,-25,16,8,4
-33,46,-2,85,39,-20,-42,30,12,4
-19,48,-3,80,47,-22,-46,43,23,4
3,82,0,61,53,-21,-46,43,28,4
-12,62,-3,46,47,-16,-53,44,31,4
-67,38,-5,41,42,-14,-53,46,21,4
-59,45,-10,42,48,-19,-46,42,21,4
-12,58,-7,37,45,-14,-37,38,21,4
-5,62,0,28,31,-10,-32,28,17,4
-17,50,11,26,29,-12,-27,25,14,4
-5,36,17,34,24,-13,-25,21,11,4
18,47,20,37,19,-11,-21,19,8,4
28,53,28,44,25,-13,-18,16,7,4
34,83,22,48,26,-12,-14,14,7,4
7,60,2,51,22,-5,-17,17,2,4
-17,35,-12,83,29,0,-28,17,13,4
-32,20,-25,73,9,4,-35,32,25,4
-63,18,-27,105,69,-10,-42,38,35,4
-72,23,-13,83,44,-10,-48,37,29,4
-52,15,-10,77,20,0,-68,30,33,4
-44,15,-7,90,17,5,-62,35,26,4
-32,14,-5,78,6,6,-53,32,25,4
-36,31,-8,65,-7,7,-45,29,22,4
-53,36,-2,64,-1,7,-32,20,18,4
-46,41,-1,67,4,0,-26,15,16,4
-20,56,0,59,2,0,-24,13,12,4
8,71,17,55,1,2,-23,10,10,4
85,43,17,63,13,-3,-19,10,10,4
32,57,12,73,14,-3,-16,12,7,4
-56,32,5,68,29,-10,-24,12,10,4
-21,26,19,67,33,-17,-35,25,16,4
31,112,2,84,47,-26,-41,43,24,4
0,52,-2,65,60,-25,-44,44,29,4
-52,31,-14,34,52,-16,-56,35,29,4
-41,61,-12,39,44,-14,-52,45,22,4
-18,64,-8,41,48,-16,-46,43,23,4
-20,50,1,30,40,-10,-35,35,22,4
-19,46,6,23,28,-6,-30,28,19,4
-2,48,10,24,20,-8,-23,21,13,4
9,50,12,31,16,-8,-23,19,10,4
18,50,16,43,9,-5,-22,15,6,4
24,58,19,51,7,-4,-23,12,3,4
18,69,19,50,7,-9,-24,19,5,4
-8,52,1,33,46,-4,-14,28,18,4
-23,33,-7,48,63,-6,-13,14,16,4
-33,23,-14,58,34,-15,-38,30,25,4
-44,27,-18,96,46,-17,-43,36,35,4
-57,23,-9,85,22,-7,-67,42,28,4
-57,11,-8,82,34,2,-73,40,26,4
-46,30,-8,76,15,7,-51,32,27,4
-40,26,-3,92,3,15,-48,32,25,4
-40,31,0,78,-17,21,-41,28,21,4
-41,29,0,73,-13,19,-33,20,16,4
-35,26,-2,71,-14,14,-28,14,10,4
-14,48,16,53,-12,3,-26,11,9,4
12,84,12,67,1,-4,-24,10,10,4
32,60,16,61,5,-11,-15,11,8,4
34,44,15,63,17,-11,-14,11,5,4
-3,38,6,67,30,-16,-21,15,7,4
-12,37,0,76,41,-20,-33,19,15,4
-2,75,12,77,38,-17,-40,42,24,4
11,83,2,75,46,-23,-39,39,22,4
-41,31,-11,52,45,-14,-55,42,26,4
-68,46,-13,50,41,-12,-60,44,24,4
-30,68,-13,46,38,-10,-51,47,21,4
-12,58,-3,42,38,-11,-42,38,21,4
-14,52,3,30,34,-8,-37,32,17,4
3,53,14,18,26,-5,-29,26,13,4
10,59,14,16,23,-6,-25,21,8,4
12,51,16,27,17,-13,-25,14,0,4
14,53,16,36,13,-14,-30,13,4,4
2,67,12,48,10,-11,-27,22,8,4
-19,54,1,43,20,-10,-19,30,19,4
